,Year,Mean_Cmb_MPG,Mean_Cmb_MPG_standard
0,2000,18.632342277012327,0.008306895432646491
1,2001,18.75083612040134,0.013218802419744222
2,2002,18.60909090909091,0.007343060069674509
3,2003,18.431948424068768,0.0
4,2004,19.451505016722408,0.042263521951566636
5,2005,19.50979325353645,0.04467973522884698
6,2006,19.243987975951903,0.033661350114198296
7,2007,19.180518319928503,0.03103035226676969
8,2008,19.600280504908834,0.04843068928305989
9,2009,20.30648769574944,0.07770498688213938
10,2010,21.18887262079063,0.11428235288410567
11,2011,22.033049040511727,0.14927586761683606
12,2012,22.68825065274152,0.17643583884423297
13,2013,24.170118343195263,0.2378634713229778
14,2014,24.655924170616117,0.2580015052480601
15,2015,24.701385784532857,0.25988601850761633
16,2016,25.494836844279224,0.29277682272850225
17,2017,25.560574948665295,0.29550185421551745
18,2018,25.25225578658297,0.28272114761360184
19,2019,26.10810810810811,0.3181986617003211
20,2020,26.149315636665285,0.31990683101656586
21,2021,26.721091205211728,0.3436085553413885
22,2022,28.47780887644942,0.41642950161943537
23,2023,33.08794162826421,0.6075326224857739
24,2024,37.66188197767145,0.7971354652854968
25,2025,42.55574468085106,1.0
