veh_class,proportion,Year
van,0.0018587360594795538,2019
small car,0.3070631970260223,2019
standard SUV,0.10446096654275093,2019
pickup,0.09070631970260223,2019
minivan,0.006691449814126394,2019
small SUV,0.17732342007434945,2019
minivan,0.0066797642436149315,2020
special purpose,0.019646365422396856,2020
standard SUV,0.11827111984282908,2020
large car,0.09194499017681729,2020
midsize car,0.1504911591355599,2020
station wagon,0.03418467583497053,2020
pickup,0.08958742632612966,2020
small SUV,0.1944990176817289,2020
small car,0.2931237721021611,2020
van,0.0015717092337917485,2020
van,0.0015467904098994587,2021
midsize car,0.13650425367362723,2021
minivan,0.006187161639597835,2021
pickup,0.10208816705336426,2021
station wagon,0.03596287703016241,2021
standard SUV,0.1477184841453983,2021
large car,0.07617942768754833,2021
small SUV,0.20494972931167826,2021
small car,0.26875483372003095,2021
special purpose,0.020108275328692964,2021
van,0.0015226494099733537,2022
large car,0.07042253521126761,2022
special purpose,0.01674914350970689,2022
standard SUV,0.16178149980966883,2022
station wagon,0.02854967643700038,2022
small car,0.24133993148077656,2022
minivan,0.006090597639893415,2022
pickup,0.11724400456794823,2022
small SUV,0.22344880091358965,2022
midsize car,0.1328511610201751,2022
small car,0.23851203501094093,2023
station wagon,0.031363967906637494,2023
van,0.00036469730123997083,2023
midsize car,0.1287381473377097,2023
large car,0.07658643326039387,2023
minivan,0.005835156819839533,2023
pickup,0.10576221735959154,2023
special purpose,0.011670313639679067,2023
small SUV,0.2224653537563822,2023
standard SUV,0.1787016776075857,2023
standard SUV,0.20760456273764258,2024
pickup,0.12167300380228137,2024
minivan,0.006844106463878327,2024
large car,0.05931558935361217,2024
midsize car,0.10950570342205324,2024
station wagon,0.022813688212927757,2024
special purpose,0.009125475285171103,2024
small car,0.22737642585551332,2024
small SUV,0.2349809885931559,2024
van,0.0007604562737642585,2024
large car,0.06179775280898876,2025
small car,0.20826645264847513,2025
special purpose,0.01043338683788122,2025
station wagon,0.024077046548956663,2025
standard SUV,0.22271268057784913,2025
midsize car,0.09229534510433386,2025
minivan,0.009630818619582664,2025
pickup,0.11235955056179775,2025
small SUV,0.25842696629213485,2025
